[6990 131105-15:40:13.868] INFO: load service log ok
[6990 131105-15:40:13.868] INFO: host log level DEBUG
[6990 131105-15:40:13.868] INFO: load service dispatcher ok
[6990 131105-15:40:13.868] INFO: load service node ok
[6990 131105-15:40:13.868] INFO: load service centerc ok
[6990 131105-15:40:13.868] INFO: load service cmdctl ok
[6990 131105-15:40:13.868] INFO: load service world ok
[6990 131105-15:40:13.868] INFO: load service gamematch ok
[6990 131105-15:40:13.868] INFO: load service playerdb ok
[6990 131105-15:40:13.868] INFO: node register, NODE[world0000,T03,C-001,L0.0.0.0:0,N127.0.0.1:8300,G0.0.0.0:0]
[6990 131105-15:40:13.868] INFO: listen on 127.0.0.1:8300
[6990 131105-15:40:13.868] INFO: connect to 127.0.0.1:8000 ...
[6990 131105-15:40:13.868] INFO: connect to center ok
[6990 131105-15:40:13.868] INFO: load tplt: ./res/tbl/roledata.tbl
[6990 131105-15:40:13.868] INFO: Shaco start
[6990 131105-15:43:12.721] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:43:12.721] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:43:12.722] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:43:12.723] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:43:20.086] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:43:20.086] DEBUG: Receive msg:1003, from gate, to service:gamematch
[6990 131105-15:43:20.126] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:43:20.729] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:43:20.730] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:43:20.730] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:43:20.731] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:43:21.366] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:43:21.366] DEBUG: Receive msg:1003, from gate, to service:gamematch
[6990 131105-15:43:21.410] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.809] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.810] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.810] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.811] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.811] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.812] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.812] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.812] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.813] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.813] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.813] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.814] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.814] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.814] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.815] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.815] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.815] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.815] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.816] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.816] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.816] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.816] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.817] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.817] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.817] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.817] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.818] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.818] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.818] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:44:21.818] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:44:21.819] DEBUG: Receive msg:12, from gate, to service:world
